ville;latitude;longitude
Ville Du Pont;46.999873398;6.498147193
Villers Grelot;47.361512085;6.235167025
Villars Les Blamont;47.368383721;6.871414913
Les Villedieu;46.713906258;6.26583065
Villers Buzon;47.228558434;5.852186748
Villers La Combe;47.240809828;6.473842387
Villers Sous Chalamont;46.901588322;6.045328224
Voujeaucourt;47.473552905;6.782505604
Bouconville Vauclair;49.460193485;3.756684634
Bouresches;49.067056293;3.316703204
Brissy Hamegicourt;49.742857871;3.399923608
Brumetz;49.110351585;3.153350725
Brunehamel;49.771382057;4.186261479
Bucy Le Long;49.387973822;3.398519722
Caillouel Crepigny;49.617755672;3.121707969
Camelin;49.52049848;3.127624347
Cerny En Laonnois;49.450196586;3.679121433
Chambry;49.598625529;3.671806573
Chaourse;49.70058224;3.985961293
Charmes;49.650915124;3.384799677
Chaudun;49.315257363;3.252722944
Chauny;49.619538899;3.219139283
Chezy En Orxois;49.126870891;3.168015889
Chivy Les Etouvelles;49.532848303;3.585053697
Ciry Salsogne;49.367262408;3.467612315
Clastres;49.749158544;3.230539083
Montchalons;49.513778836;3.727459479
Monthenault;49.489769799;3.655508134
Montigny L Allier;49.122370638;3.107996308
Montigny Lengrain;49.372578828;3.099063795
Mont Notre Dame;49.292397628;3.582216807
Mont St Jean;49.792702607;4.210227315
Muret Et Crouttes;49.278626123;3.434628893
Nesles La Montagne;48.999750332;3.44605178
Neufchatel Sur Aisne;49.436580849;4.024031385
Le Nouvion En Thierache;50.008566787;3.809358313
Ognes;49.614542455;3.191108052
Orainville;49.375881407;4.016154951
Osly Courtil;49.399369702;3.237910386
Pancy Courtecon;49.46035579;3.649818372
Papleux;50.017614944;3.880061553
Parcy Et Tigny;49.270195121;3.329041936
Parfondru;49.538438581;3.703323738
Pargny La Dhuys;48.954292173;3.563228277
Pargny Les Bois;49.73198721;3.617572589
Parpeville;49.794619132;3.564481061
Viffort;48.957893106;3.469516322
Villeneuve Sur Fere;49.170863583;3.4754559240000003
Villers St Christophe;49.779716306;3.09133152
Wimy;49.948014627;3.997490476
St Firmin;44.793514305;6.025693765
Bosmont Sur Serre;49.739164547;3.866951038
Bouffignereux;49.378528828;3.846143285
Bourguignon Sous Coucy;49.543351686;3.154672717
Brancourt En Laonnois;49.516508164;3.412722641
Braye En Laonnois;49.437398745;3.609863828
Brenelle;49.368284047;3.54436136
Brie;49.597375488;3.473167317
Bruyeres Et Montberault;49.524775786;3.669533869
Camelin;49.52049848;3.127624347
Castres;49.800742628;3.253372217
Chaillevois;49.508011773;3.522228189
Albon D Ardeche;44.814986241;4.42533053
Chassemy;49.377956997;3.5022180460000003
Chateau Thierry;49.056425662;3.381541175
Annonay;45.24633989;4.651027131
Chatillon Les Sons;49.761912822;3.702869899
Chatillon Sur Oise;49.793931936;3.416909399
Chery Chartreuve;49.255681433;3.604732022
Les Assions;44.425050124;4.184546969
Chery Les Pouilly;49.648935895;3.593859599
Beauvene;44.869254781;4.511902169
Chigny;49.930254202;3.776579181
Cilly;49.749214967;3.840427798
Bessas;44.337648804;4.298027723
Boulieu Les Annonay;45.267247358;4.64531343
Freyssenet;44.688564128;4.546249145
Gravieres;44.421176818;4.071956856
Laurac En Vivarais;44.503712977;4.288051747
Malarce Sur La Thines;44.47842111;4.050331709
Marcols Les Eaux;44.805857591;4.389352756
Montreal;44.518242755;4.294294724
Belsentes;44.915172091;4.501873879
Prunet;44.595386971;4.254443305
Rocher;44.580743053;4.279673268
St Alban Auriolles;44.434362261;4.294617257
St Alban Auriolles;44.434362261;4.294617257
St Etienne De Serre;44.801469013;4.523351508
St Genest Lachamp;44.844258846;4.424403779
St Maurice En Chalencon;44.854713177;4.582378545
St Peray;44.940900268;4.824380067
St Romain De Lerps;44.976021002;4.796591138
Sampzon;44.412648109;4.331865524
Sanilhac;44.532932661;4.231771763
Soyons;44.891795842;4.851099731
Montbrehain;49.964774581;3.356345656
Montescourt Lizerolles;49.735843297;3.261878148
Vallon Pont D Arc;44.400362094;4.405442855
Montigny Les Conde;48.983232726;3.566517221
Les Vans;44.392227568;4.114704212
Montigny Sous Marle;49.741394451;3.804042798
Montloue;49.667813906;4.062955359
Mont St Pere;49.081931195;3.476999705
Villeneuve De Berg;44.549110618;4.503596816
Mortefontaine;49.336522127;3.081227765
Nampteuil Sous Muret;49.305284958;3.433858092
Neuflieux;49.617084777;3.159479468
Neuilly St Front;49.162859433;3.264251606
Nizy Le Comte;49.574436225;4.030266889
Noroy Sur Ourcq;49.204123313;3.207797063
Nouvion Et Catillon;49.707297768;3.493588723
Ohis;49.918552317;4.011905333
Passy Sur Marne;49.066037275;3.574160645
Pernant;49.375849613;3.229862367
Villers Agron Aiguizy;49.163077859;3.716339895
Wiege Faty;49.883202459;3.713383147
Aigues Vives;43.000605933;1.877001309
Albies;42.75449595;1.698141074
Alzen;42.981477991;1.455583307
Antras;42.873136055;0.901076172
Appy;42.804212622;1.741572347
Arnave;42.852578527;1.6462588500000002
Arrien En Bethmale;42.877897905;1.036286961
Aston;42.681045186;1.659353899
Barjac;43.062358722;1.134894033
Benagues;43.077767567;1.609995993
Besset;43.072394781;1.846291671
Bestiac;42.785299496;1.799260845
Betchat;43.084337113;1.02905351
Bezac;43.152935541;1.5735185180000002
Bonac Irazein;42.840298273;0.982966446
Bouan;42.792392257;1.643365341
Boussenac;42.907697093;1.391199599
Burret;42.951550607;1.472306905
Calzan;43.033346295;1.741123428
Carla De Roquefort;42.975332692;1.7620467190000002
Castelnau Durban;42.992428714;1.338333517
Casteras;43.127912251;1.403548506
Castex;43.166036647;1.319505787
Cazaux;43.052924497;1.519269138
St Maurice En Valgodemard;44.798496053;6.112547256
Chassiers;44.566071049;4.301942115
Chazeaux;44.595318348;4.298677117
Cornas;44.965893212;4.841157717
Coux;44.743230369;4.622473789
Darbres;44.659793314;4.515767253
Dornas;44.851597834;4.357764189
Largentiere;44.533435177;4.301173733
Mariac;44.885755486;4.353058652
Montselgues;44.533398573;4.003739641
Privas;44.722434276;4.594124449
Rocles;44.568283822;4.207891882
St Cierge Sous Le Cheylard;44.926511605;4.453931301
St Marcel Les Annonay;45.2886497;4.629391603
St Pierre St Jean;44.48245206;4.101861085
St Pierreville;44.818862746;4.481469211
Les Vans;44.392227568;4.114704212
Alieze;46.585078016;5.58585556
Arinthod;46.393818871;5.582269114
Arlay;46.765371686;5.537548031
La Chailleuse;46.581654364;5.526378282
Aumont;46.916358761;5.633131722
Auxange;47.177696691;5.654431375
Avignon Les St Claude;46.401415232;5.841108907
Bans;46.982403501;5.580664055
Baverans;47.105995408;5.536574226
Beaufort Orbagna;46.585163377;5.434623271
Bellefontaine;46.556551899;6.082359393
Belmont;47.028201675;5.605061014
Bersaillin;46.857207383;5.595263907
Bracon;46.925701949;5.868310395
Buvilly;46.869681049;5.725636745
Cernon;46.412315932;5.643405536
Les Chalesmes;46.692139123;6.026439714
Charency;46.766948662;5.991886106
Charezier;46.614530533;5.726955677
Chateau Chalon;46.759243277;5.648414693
Le Chateley;46.879800002;5.5442929450000005
Chatillon;46.663026475;5.727169626
Nanchez;46.500781245;5.861824827
Chaux Champagny;46.884154623;5.879711162
Chille;46.693041196;5.571909283
Chilly Sur Salins;46.870199969;5.858210036
Chissey Sur Loue;47.060399995;5.740191409
Commenailles;46.805895385;5.437128703
Courlans;46.676012788;5.487388674
Courlaoux;46.669676119;5.449171257
Courtefontaine;47.132677999;5.792778762
Coyron;46.512641842;5.697033148
Hauteroche;46.699491802;5.697212623
Crenans;46.466529395;5.7419862340000005
Crissey;47.051054482;5.478654585
Dampierre;47.173242784;5.742542149
Denezieres;46.623880768;5.801157366
Le Deschaux;46.950886325;5.498571507
Les Deux Fays;46.885617586;5.487783703
Digna;46.518360263;5.38498466
Dole;47.075502708;5.500897034
Dompierre Sur Mont;46.562417185;5.612866077
Dramelay;46.404302536;5.52954359
Val D Epy;46.389785344;5.397605725
Val D Epy;46.389785344;5.397605725
Equevillon;46.760836092;5.9428508650000005
Alos;42.897888566;1.129211246
Etival;46.492221957;5.793862303
Arignac;42.87585768;1.595543477
Francheville;46.836292538;5.502884384
Artigues;42.689846976;2.037910827
Le Frasnois;46.636351633;5.890811397
Aulus Les Bains;42.766542296;1.355768892
Geraise;46.958660024;5.954886904
Balacet;42.887117793;0.98278804
Germigney;47.037391858;5.6858203320000005
La Bastide De Bousignac;43.058173549;1.884852447
Gevingey;46.638116747;5.50962812
La Bastide De Serou;43.024895448;1.392649757
Grande Riviere Chateau;46.528638867;5.909426948
La Bastide Sur L Hers;42.950959843;1.89986243
